기사 제목,이모티콘 수,댓글 수,게시된 시간,기자 이름,구독 수,응원 수,이미지 title,원본기사주소
"'KC 미인증 해외직구 금지' 사실상 철회…정부 ""혼선 죄송""","['6', '6', '2', '0', '46']",204,오후 8:03,소환욱,"1,392",427,SBS,https://n.news.naver.com/mnews/article/055/0001156265?sid=101
동쪽 매립부지 우선시공해 2029년 개항 맞춘다,"['2', '0', '8', '0', '2']",17,오후 8:01,김덕준,"2,989","2,197",부산일보,https://n.news.naver.com/mnews/article/082/0001270587?sid=101
월 수출 1억불 첫 돌파…‘K-라면’ 인기 반갑지만 소비자는 가격에 ‘고통’,"['0', '1', '2', '0', '2']",10,오후 8:01,권나연,"2,033",692,농민신문,https://n.news.naver.com/mnews/article/662/0000043859?sid=101
[단독] 뉴진스님·에일리...삼성노조 행사 출연진 맞아? MZ직원·일반인과 주파수 맞추기,"['27', '3', '51', '4', '5']",109,오후 8:01,이윤주,"2,107",405,한국일보,https://n.news.naver.com/mnews/article/469/0000802125?sid=101
"""데이터 기반으로 스마트팜 고도화""…아이오크롭스 신제품 출시","['0', '0', '0', '0', '0']",0,오후 8:00,최태범,"1,480","1,660",머니투데이,https://n.news.naver.com/mnews/article/008/0005039640?sid=101
"에어부산, 부산 이스포츠팀 ‘피어엑스’와 파트너십","['0', '0', '0', '0', '0']",0,오후 7:59,권병석,"1,309","1,977",파이낸셜뉴스,https://n.news.naver.com/mnews/article/014/0005187158?sid=101
“코스닥 시총 2위 종목이 ‘쩜하’라니”...증시 충격에 잠못드는 주주들,"['10', '8', '8', '5', '17']",140,오후 7:58,김제림,"1,895",410,매일경제,https://n.news.naver.com/mnews/article/009/0005305473?sid=101
[앵커의 마침표]말이 아닌 행동으로,"['0', '0', '0', '0', '0']",2,오후 7:57,null,0,0,채널A,https://n.news.naver.com/mnews/article/449/0000275372?sid=101
“신용 1등급도 담보 없으면 ‘카드론’ 받아야” 유례없이 높아진 신용대출 문턱[머니뭐니],"['2', '2', '1', '0', '3']",11,오후 7:56,김광우,"1,187","1,357",헤럴드경제,https://n.news.naver.com/mnews/article/016/0002310544?sid=101
"김영록 전남지사, 美 유명 셰프에 전남 농수산물 소개","['0', '0', '0', '0', '0']",0,오후 7:47,송창헌,"1,045",315,뉴시스,https://n.news.naver.com/mnews/article/003/0012554203?sid=101
불닭볶음면이 이끈 K-라면 열풍,"['0', '4', '20', '0', '1']",17,오후 7:44,송정현,464,693,채널A,https://n.news.naver.com/mnews/article/449/0000275365?sid=101
"일론 머스크, 스타링크 출시 위해 인도네시아 방문","['0', '0', '0', '0', '0']",0,오후 7:43,정지윤,337,214,뉴스1,https://n.news.naver.com/mnews/article/421/0007548424?sid=101
기업대출 꾸준한 증가세 속 연체율 상승세 ‘그림자’,"['0', '0', '0', '0', '0']",1,오후 7:43,조해영,"1,047","1,433",한겨레,https://n.news.naver.com/mnews/article/028/0002690011?sid=101
미국 유명 쉐프 초청 공양행사,"['0', '0', '0', '0', '0']",0,오후 7:42,송창헌,"1,045",315,뉴시스,https://n.news.naver.com/mnews/article/003/0012554200?sid=101
“과도한 규제” 여론에…‘KC 미인증’ 해외직구 금지 철회,"['0', '0', '4', '0', '3']",12,오후 7:42,곽민경,246,869,채널A,https://n.news.naver.com/mnews/article/449/0000275364?sid=101
AI chip firms seek more support in quest to rise to the top,"['0', '1', '0', '0', '0']",0,오후 7:41,JIN,357,492,코리아중앙데일리,https://n.news.naver.com/mnews/article/640/0000054015?sid=101
"LG유플러스, 새 브랜드 슬로건 내놨다…이유 봤더니","['0', '0', '0', '0', '0']",0,오후 7:36,이가람,"7,974","1,627",매일경제,https://n.news.naver.com/mnews/article/009/0005305471?sid=101
"""전지현씨 bhc"" 이제 못 듣네…10년 동행 끝, 황정민 손 잡은 이유","['13', '5', '15', '2', '4']",91,오후 7:31,유엄식,"4,691","2,686",머니투데이,https://n.news.naver.com/mnews/article/008/0005039636?sid=101
"KT, 난청 아동과 함께하는 ‘KT위즈파크 나들이’","['0', '0', '0', '0', '0']",1,오후 7:30,김준혁,"1,176","2,006",파이낸셜뉴스,https://n.news.naver.com/mnews/article/014/0005187140?sid=101
"""차량 원격제어 ‘GM 온스타’… 한국 특화 서비스 담았죠"" [fn이사람]","['1', '0', '0', '0', '0']",1,오후 7:30,최종근,"1,764","1,294",파이낸셜뉴스,https://n.news.naver.com/mnews/article/014/0005187139?sid=101
"하나금융, 철원 국공립 어린이집 활짝","['0', '0', '0', '0', '0']",0,오후 7:30,박소현,847,"2,025",파이낸셜뉴스,https://n.news.naver.com/mnews/article/014/0005187138?sid=101
"“일자리 늘어나도 ‘이것’ 오르면 꽝”…바이든 vs 트럼프, 최대 승부처","['0', '0', '1', '1', '0']",9,오후 7:30,강계만,"1,149",336,매일경제,https://n.news.naver.com/mnews/article/009/0005305468?sid=101
[따져보니] 성심당 '월세 4억' 논란…대전역에서 철수하나,"['45', '2', '15', '1', '19']",273,오후 7:29,김창섭,559,"1,396",TV조선,https://n.news.naver.com/mnews/article/448/0000459211?sid=101
